series_key,brand,series,body_type,energy_type,vehicle_categories,energy_subtypes,manufacturer_attributes,taxonomy_source,taxonomy_confidence
北京越野bj40增程,北京越野,北京越野BJ40增程,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
北京越野bj60,北京越野,北京越野BJ60,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
北京越野bj60增程,北京越野,北京越野BJ60增程,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
北京越野bj60雷霆,北京越野,北京越野BJ60雷霆,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
北京越野bj80,北京越野,北京越野BJ80,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
北京越野bj90,北京越野,北京越野BJ90,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
北斗星,铃木,北斗星,,燃油车,,燃油,,internal_90d,0.88
北斗星x5,北汽昌河,北斗星X5,,燃油车,,燃油,,internal_90d,0.88
北斗星x5e,北汽昌河,北斗星X5E,,新能源,,新能源,,internal_90d,0.88
北汽007,北京汽车制造厂,北汽007,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
北汽ec100,北汽昌河,北汽EC100,,新能源,,新能源,,internal_90d,0.88
北汽ev2,北汽昌河,北汽EV2,,新能源,,新能源,,internal_90d,0.88
北汽ev5,北汽昌河,北汽EV5,,新能源,,新能源,,internal_90d,0.88
北汽威旺205,北汽威旺,北汽威旺205,,燃油车,,燃油,,internal_90d,0.88
北汽威旺306,北汽威旺,北汽威旺306,,燃油车,,燃油,,internal_90d,0.88
北汽威旺307,北汽威旺,北汽威旺307,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
北汽威旺m20,北汽威旺,北汽威旺M20,,燃油车,,燃油,,internal_90d,0.88
北汽威旺m30,北汽威旺,北汽威旺M30,,燃油车,,燃油,,internal_90d,0.88
北汽威旺m35,北汽威旺,北汽威旺M35,,燃油车,,燃油,,internal_90d,0.88
北汽威旺m50f,北汽威旺,北汽威旺M50F,,燃油车,,燃油,,internal_90d,0.88
北汽威旺s50,北汽威旺,北汽威旺S50,,燃油车,,燃油,,internal_90d,0.88
北汽小河马,北京汽车制造厂,北汽小河马,,新能源,,新能源,,internal_90d,0.88
北汽幻速h2,北汽幻速,北汽幻速H2,,燃油车,,燃油,,internal_90d,0.88
北汽幻速h2v,北汽幻速,北汽幻速H2V,,燃油车,,燃油,,internal_90d,0.88
北汽幻速h3,北汽幻速,北汽幻速H3,,燃油车,,燃油,,internal_90d,0.88
北汽幻速h5,北汽幻速,北汽幻速H5,,燃油车,,燃油,,internal_90d,0.88
北汽幻速h6,北汽幻速,北汽幻速H6,,燃油车,,燃油,,internal_90d,0.88
北汽幻速s2,北汽幻速,北汽幻速S2,,燃油车,,燃油,,internal_90d,0.88
北汽幻速s3,北汽幻速,北汽幻速S3,,燃油车,,燃油,,internal_90d,0.88
北汽幻速s5,北汽幻速,北汽幻速S5,,燃油车,,燃油,,internal_90d,0.88
北汽幻速s6,北汽幻速,北汽幻速S6,,燃油车,,燃油,,internal_90d,0.88
北汽幻速s7,北汽幻速,北汽幻速S7,,燃油车,,燃油,,internal_90d,0.88
北汽新能源d80ev,北汽新能源,北汽新能源D80 EV,,新能源,,新能源,,internal_90d,0.88
北汽新能源ec,北汽新能源,北汽新能源EC,,新能源,,新能源,,internal_90d,0.88
北汽新能源ec5,北汽新能源,北汽新能源EC5,,新能源,,新能源,,internal_90d,0.88
北汽新能源es210,北汽新能源,北汽新能源ES210,,新能源,,新能源,,internal_90d,0.88
北汽新能源eu,北汽新能源,北汽新能源EU,,新能源,,新能源,,internal_90d,0.88
北汽新能源ev,北汽新能源,北汽新能源EV,,新能源,,新能源,,internal_90d,0.88
北汽新能源ex,北汽新能源,北汽新能源EX,,新能源,,新能源,,internal_90d,0.88
北汽昌河a6,北汽昌河,北汽昌河A6,,燃油车,,燃油,,internal_90d,0.88
北汽昌河m50s,北汽昌河,北汽昌河M50S,,燃油车,,燃油,,internal_90d,0.88
北汽昌河m60,北汽昌河,北汽昌河M60,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
北汽昌河m70,北汽昌河,北汽昌河M70,,燃油车,,燃油,,internal_90d,0.88
北汽昌河q25,北汽昌河,北汽昌河Q25,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
北汽昌河q35,北汽昌河,北汽昌河Q35,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
北汽昌河q7,北汽昌河,北汽昌河Q7,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
北汽瑞翔x5,北汽瑞翔,北汽瑞翔X5,,燃油车,,燃油,,internal_90d,0.88
千里马,起亚,千里马,,燃油车,,燃油,,internal_90d,0.88
华境s,华境,华境S,SUV,新能源,SUV,新能源,,dcd_ranking,0.96
华晨新日i03,华晨新日,华晨新日i03,,新能源,,新能源,,internal_90d,0.88
华晨新日i03a,华晨新日,华晨新日i03A,,新能源,,新能源,,internal_90d,0.88
华晨金杯750,金杯,华晨金杯750,,燃油车,,燃油,,internal_90d,0.88
华泰iev230,华泰新能源,华泰iEV230,,新能源,,新能源,,internal_90d,0.88
华泰xev260,华泰新能源,华泰XEV260,,新能源,,新能源,,internal_90d,0.88
华颂7,华颂,华颂7,,燃油车,,燃油,,internal_90d,0.88
博悦,菲亚特,博悦,,燃油车,,燃油,,internal_90d,0.88
博瑞,吉利汽车,博瑞,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
博瑞epro,吉利汽车,博瑞ePro,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
博越,吉利汽车,博越,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
博越l,吉利汽车,博越L,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
博越rev,吉利汽车,博越REV,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
博速g级,博速,博速 G级,,燃油车,,燃油,,internal_90d,0.88
博速m级,博速,博速 M级,,燃油车,,燃油,,internal_90d,0.88
博速s级,博速,博速 S级,,燃油车,,燃油,,internal_90d,0.88
博骏,野马汽车,博骏,,燃油车,,燃油,,internal_90d,0.88
卡威suv,卡威,卡威SUV,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
卡尔森cca22,卡尔森,卡尔森 CCA22,,燃油车,,燃油,,internal_90d,0.88
卡缤进口,雷诺,卡缤(进口),,燃油车,,燃油,,internal_90d,0.88
卡罗拉,丰田,卡罗拉,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
卡罗拉双擎e+,丰田,卡罗拉双擎E+,,新能源,,新能源,,internal_90d,0.88
卡罗拉进口,丰田,卡罗拉(进口),,燃油车,,燃油,,internal_90d,0.88
卡罗拉锐放,丰田,卡罗拉锐放,SUV,燃油车,SUV,燃油,,dcd_ranking+internal_90d,0.96
卡路里,北京汽车制造厂,卡路里,,燃油车,,燃油,,internal_90d,0.88
卡路里f7,北京汽车制造厂,卡路里F7,,燃油车,,燃油,,internal_90d,0.88
卫士,路虎,卫士,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
双环sceo,双环,双环SCEO,,燃油车,,燃油,,internal_90d,0.88
双龙c200,双龙,双龙C200,,燃油车,,燃油,,internal_90d,0.88
发现,路虎,发现,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
发现神行,路虎,发现神行,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
发现神行进口,路虎,发现神行(进口),SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
发现运动,路虎,发现运动,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
发现运动phev,路虎,发现运动PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
发现运动版,路虎,发现运动版,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
发现运动版phev,路虎,发现运动版PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
古思特,劳斯莱斯,古思特,,燃油车,,燃油,,internal_90d,0.88
合创007,合创汽车,合创007,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
合创a06,合创汽车,合创A06,,新能源,,新能源,,internal_90d,0.88
合创v09,合创汽车,合创V09,,新能源,,新能源,,internal_90d,0.88
合创z03,合创汽车,合创Z03,,新能源,,新能源,,internal_90d,0.88
吉利ec8,吉利汽车,吉利EC8,,燃油车,,燃油,,internal_90d,0.88
吉利gc7,吉利汽车,吉利GC7,,燃油车,,燃油,,internal_90d,0.88
吉利ge,吉利汽车,吉利GE,,燃油车,,燃油,,internal_90d,0.88
吉利gs,吉利汽车,吉利GS,,燃油车,,燃油,,internal_90d,0.88
吉利gx2,吉利汽车,吉利GX2,,燃油车,,燃油,,internal_90d,0.88
吉利gx6,吉利汽车,吉利GX6,,燃油车,,燃油,,internal_90d,0.88
吉利gx7,吉利汽车,吉利GX7,,燃油车,,燃油,,internal_90d,0.88
吉利icon,吉利汽车,吉利ICON,SUV,燃油车,SUV,燃油,,dcd_ranking+internal_90d,0.96
吉利sc3,吉利汽车,吉利SC3,,燃油车,,燃油,,internal_90d,0.88
吉利sc5,吉利汽车,吉利SC5,,燃油车,,燃油,,internal_90d,0.88
吉利sx7,吉利汽车,吉利SX7,,燃油车,,燃油,,internal_90d,0.88
吉利几何a,吉利几何,吉利几何A,轿车,新能源,轿车,新能源,,dcd_ranking+internal_90d,0.96
吉利几何c,吉利几何,吉利几何C,,新能源,,新能源,,internal_90d,0.88
吉利几何e萤火虫,吉利几何,吉利几何E萤火虫,SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
吉利几何g6,吉利几何,吉利几何G6,,新能源,,新能源,,internal_90d,0.88
吉利几何m6,吉利几何,吉利几何M6,MPV,新能源,MPV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
吉利远程fx,远程汽车,吉利远程FX,,燃油车,,燃油,,internal_90d,0.88
吉奥吉瑞,新吉奥汽车,吉奥吉瑞,,燃油车,,燃油,,internal_90d,0.88
吉奥奥腾,新吉奥汽车,吉奥奥腾,,新能源,,新能源,,internal_90d,0.88
吉奥帅凌,新吉奥汽车,吉奥帅凌,,新能源,,新能源,,internal_90d,0.88
吉奥睿征l,新吉奥汽车,吉奥睿征L,,新能源,,新能源,,internal_90d,0.88
吉姆尼,铃木,吉姆尼,,燃油车,,燃油,,internal_90d,0.88
吉姆尼进口,铃木,吉姆尼(进口),,燃油车,,燃油,,internal_90d,0.88
吉运e6,金杯,吉运E6,,燃油车,,燃油,,dcd_ranking,0.96
同悦,江汽集团,同悦,,燃油车,,燃油,,internal_90d,0.88
同悦rs,江汽集团,同悦RS,,燃油车,,燃油,,internal_90d,0.88
名图,现代,名图,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
名爵3,名爵,名爵3,,燃油车,,燃油,,internal_90d,0.88
名爵3sw,名爵,名爵3SW,,燃油车,,燃油,,internal_90d,0.88
名爵5,名爵,名爵5,,燃油车,,燃油,,internal_90d,0.88
名爵6,名爵,名爵6,,燃油车,,燃油,,internal_90d,0.88
名爵6phev,名爵,名爵6 PHEV,,新能源,,新能源,,internal_90d,0.88
名爵ezs纯电动,名爵,名爵EZS纯电动,,新能源,,新能源,,internal_90d,0.88
名爵hs,名爵,名爵HS,,燃油车,,燃油,,internal_90d,0.88
名爵hsphev,名爵,名爵HS PHEV,,新能源,,新能源,,internal_90d,0.88
名爵zs,名爵,名爵ZS,,燃油车,,燃油,,internal_90d,0.88
名驭,现代,名驭,,燃油车,,燃油,,internal_90d,0.88
君威,别克,君威,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
君威海外,别克,君威(海外),,燃油车,,燃油,,internal_90d,0.88
君越,别克,君越,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
君阁,三菱,君阁,,燃油车,,燃油,,internal_90d,0.88
君马meet3美图3,君马汽车,君马MEET 3(美图3),,燃油车,,燃油,,internal_90d,0.88
君马s70,君马汽车,君马S70,,燃油车,,燃油,,internal_90d,0.88
君马seek5赛克5,君马汽车,君马SEEK 5(赛克5),,燃油车,,燃油,,internal_90d,0.88
启悦,铃木,启悦,,燃油车,,燃油,,internal_90d,0.88
启界,瑞弗,启界,,燃油车,,燃油,,internal_90d,0.88
启辰d50,启辰,启辰D50,,燃油车,,燃油,,internal_90d,0.88
启辰d60,启辰,启辰D60,,燃油车,,燃油,,internal_90d,0.88
启辰d60ev,启辰,启辰D60 EV,,新能源,,新能源,,internal_90d,0.88
启辰e30,启辰,启辰e30,,新能源,,新能源,,internal_90d,0.88
启辰m50v,启辰,启辰M50V,,燃油车,,燃油,,internal_90d,0.88
启辰r30,启辰,启辰R30,,燃油车,,燃油,,internal_90d,0.88
启辰r50,启辰,启辰R50,,燃油车,,燃油,,internal_90d,0.88
启辰r50x,启辰,启辰R50X,,燃油车,,燃油,,internal_90d,0.88
启辰t60,启辰,启辰T60,,燃油车,,燃油,,internal_90d,0.88
启辰t60ev,启辰,启辰T60 EV,,新能源,,新能源,,internal_90d,0.88
启辰t70,启辰,启辰T70,,燃油车,,燃油,,internal_90d,0.88
启辰t70x,启辰,启辰T70X,,燃油车,,燃油,,internal_90d,0.88
启辰t90,启辰,启辰T90,,燃油车,,燃油,,internal_90d,0.88
启辰vx6,启辰,启辰VX6,,新能源,,新能源,,internal_90d,0.88
启辰大v,启辰,启辰大V,,燃油车,,燃油,,internal_90d,0.88
启辰大vddi,启辰,启辰大V DD-i,,新能源,,新能源,,internal_90d,0.88
启辰大vddi超混动,启辰,启辰大V DD-i超混动,,新能源,,新能源,,internal_90d,0.88
启辰星,启辰,启辰星,,燃油车,,燃油,,internal_90d,0.88
和悦,江汽集团,和悦,,燃油车,,燃油,,internal_90d,0.88
和悦a13rs,江汽集团,和悦A13RS,,燃油车,,燃油,,internal_90d,0.88
和悦a30,江汽集团,和悦A30,,燃油车,,燃油,,internal_90d,0.88
哈弗e,哈弗,哈弗E,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗f5,哈弗,哈弗F5,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗f7,哈弗,哈弗F7,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗f7x,哈弗,哈弗F7x,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h1,哈弗,哈弗H1,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h2,哈弗,哈弗H2,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h2s,哈弗,哈弗H2s,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h3,哈弗,哈弗H3,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h4,哈弗,哈弗H4,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h5,哈弗,哈弗H5,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗h5经典,哈弗,哈弗H5经典,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h6,哈弗,哈弗H6,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗h6coupe,哈弗,哈弗H6 Coupe,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h6l,哈弗,哈弗H6L,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗h6phev,哈弗,哈弗H6 PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哈弗h6s,哈弗,哈弗H6S,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h6新能源,哈弗,哈弗H6新能源,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哈弗h7,哈弗,哈弗H7,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h8,哈弗,哈弗H8,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗h9,哈弗,哈弗H9,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗m6,哈弗,哈弗M6,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
哈弗二代大狗,哈弗,哈弗二代大狗,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗二代大狗phev,哈弗,哈弗二代大狗PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哈弗初恋,哈弗,哈弗初恋,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗大狗,哈弗,哈弗大狗,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗大狗plus,哈弗,哈弗大狗PLUS,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗大狗plusphev,哈弗,哈弗大狗PLUS PHEV,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗枭龙,哈弗,哈弗枭龙,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哈弗枭龙max,哈弗,哈弗枭龙MAX,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗枭龙maxphev,哈弗,哈弗枭龙MAX PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哈弗猛龙,哈弗,哈弗猛龙,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哈弗猛龙phev,哈弗,哈弗猛龙PHEV,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗猛龙燃油版,哈弗,哈弗猛龙燃油版,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
哈弗神兽,哈弗,哈弗神兽,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗赤兔,哈弗,哈弗赤兔,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈弗酷狗,哈弗,哈弗酷狗,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
哈飞小霸王,哈飞,哈飞小霸王,,燃油车,,燃油,,internal_90d,0.88
哥瑞,本田,哥瑞,,燃油车,,燃油,,internal_90d,0.88
哪吒aya,哪吒汽车,哪吒AYA,,新能源,,新能源,,internal_90d,0.88
哪吒gt,哪吒汽车,哪吒GT,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
哪吒l,哪吒汽车,哪吒L,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哪吒n01,哪吒汽车,哪吒N01,,新能源,,新能源,,internal_90d,0.88
哪吒s,哪吒汽车,哪吒S,,新能源,,新能源,,internal_90d,0.88
哪吒s猎装,哪吒汽车,哪吒S猎装,,新能源,,新能源,,internal_90d,0.88
哪吒u,哪吒汽车,哪吒U,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哪吒v,哪吒汽车,哪吒V,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
哪吒x,哪吒汽车,哪吒X,,新能源,,新能源,,internal_90d,0.88
唐,比亚迪,唐,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
唐dm,比亚迪,唐DM,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
唐dmi,比亚迪,唐DM-i,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
唐ev,比亚迪,唐EV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
唐ldm,比亚迪,唐L DM,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
唐lev,比亚迪,唐L EV,SUV,新能源,SUV,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
唯雅诺,奔驰,唯雅诺,,燃油车,,燃油,,internal_90d,0.88
唯雅诺进口,奔驰,唯雅诺(进口),,燃油车,,燃油,,internal_90d,0.88
嘉华,起亚,嘉华,MPV,燃油车,MPV,燃油,,dcd_ranking+internal_90d,0.96
嘉华进口,起亚,嘉华(进口),,燃油车,,燃油,,internal_90d,0.88
嘉年华,福特,嘉年华,,燃油车,,燃油,,internal_90d,0.88
嘉年华进口,福特,嘉年华(进口),,燃油车,,燃油,,internal_90d,0.88
嘉悦a5,江汽集团,嘉悦A5,,燃油车,,燃油,,internal_90d,0.88
嘉悦x4,江汽集团,嘉悦X4,,燃油车,,燃油,,internal_90d,0.88
嘉悦x7,江汽集团,嘉悦X7,,燃油车,,燃油,,internal_90d,0.88
嘉誉,长城,嘉誉,,燃油车,,燃油,,internal_90d,0.88
嘉际,吉利汽车,嘉际,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
嘉际phev,吉利汽车,嘉际PHEV,MPV,新能源,MPV,新能源,,heuristic_body+internal_90d,0.88
国机智骏gc1,国机智骏,国机智骏GC1,,新能源,,新能源,,internal_90d,0.88
国机智骏gc2,国机智骏,国机智骏GC2,,新能源,,新能源,,internal_90d,0.88
国机智骏gx5,国机智骏,国机智骏GX5,,新能源,,新能源,,internal_90d,0.88
国金gm3,国金汽车,国金GM3,,新能源,,新能源,,internal_90d,0.88
图雅诺,福田,图雅诺,,燃油车,轻客,燃油,,internal_90d,0.88
图雅诺x5,福田,图雅诺X5,,燃油车,轻客,燃油,,internal_90d,0.88
图雅诺x6,福田,图雅诺X6,,燃油车,轻客,燃油,,internal_90d,0.88
图雅诺x7,福田,图雅诺X7,,燃油车,轻客,燃油,,internal_90d,0.88
图雅诺x8,福田,图雅诺X8,,燃油车,轻客,燃油,,internal_90d,0.88
圣达菲,华泰,圣达菲,,燃油车,,燃油,,internal_90d,0.88
圣达菲5,华泰,圣达菲5,,燃油车,,燃油,,internal_90d,0.88
圣达菲经典,华泰,圣达菲经典,,燃油车,,燃油,,internal_90d,0.88
坦克300,坦克,坦克300,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
坦克300hi4t,坦克,坦克300 Hi4-T,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
坦克400,坦克,坦克400,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
坦克400hi4t,坦克,坦克400 Hi4-T,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
坦克400hi4z,坦克,坦克400 Hi4-Z,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
坦克500,坦克,坦克500,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
坦克500hi4,坦克,坦克500 Hi4,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
坦克500hi4t,坦克,坦克500 Hi4-T,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
坦克500hi4z,坦克,坦克500 Hi4-Z,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
坦克700hi4t,坦克,坦克700 Hi4-T,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
坦途,丰田,坦途,,燃油车,,燃油,,internal_90d,0.88
型格,本田,型格,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
埃尔法,丰田,埃尔法,,燃油车,,燃油,,internal_90d,0.88
埃尔法phev,丰田,埃尔法PHEV,,燃油车,,燃油,,internal_90d,0.88
埃尚,埃尚,埃尚,,新能源,,新能源,,internal_90d,0.88
域虎,江铃,域虎,其他,燃油车,皮卡,燃油,,heuristic_body+internal_90d,0.88
域虎3,江铃,域虎3,其他,燃油车,皮卡,燃油,,heuristic_body+internal_90d,0.88
域虎5,江铃,域虎5,其他,燃油车,皮卡,燃油,,heuristic_body+internal_90d,0.88
域虎7,江铃,域虎7,其他,燃油车,皮卡,燃油,,heuristic_body+internal_90d,0.88
域虎9,江铃,域虎9,其他,燃油车,皮卡,燃油,,heuristic_body+internal_90d,0.88
域虎ev,江铃,域虎EV,其他,,皮卡,,,heuristic_body,0.72
塔利斯曼,雷诺,塔利斯曼,,燃油车,,燃油,,internal_90d,0.88
夏,比亚迪,夏,MPV,新能源,MPV,新能源,,dcd_ranking+internal_90d,0.96
夏利,一汽,夏利,,燃油车,,燃油,,internal_90d,0.88
夏利n5,一汽,夏利N5,,燃油车,,燃油,,internal_90d,0.88
夏利n7,一汽,夏利N7,,燃油车,,燃油,,internal_90d,0.88
夏朗,大众,夏朗,,燃油车,,燃油,,internal_90d,0.88
多利卡载货车,东风,多利卡载货车,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
多拉大面,货拉拉多拉,多拉大面,,新能源,,新能源,,internal_90d,0.88
多米,奇瑞QQ,多米,轿车,新能源,轿车,新能源,,dcd_ranking+internal_90d,0.96
大7mpv,纳智捷,大7 MPV,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
大7suv,纳智捷,大7 SUV,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
大mpv,九龙,大MPV,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
大乘g60s,大乘汽车,大乘G60S,,燃油车,,燃油,,internal_90d,0.88
大乘g70s,大乘汽车,大乘G70s,,燃油车,,燃油,,internal_90d,0.88
大众cc,大众,大众CC,轿车,燃油车,轿车,燃油,,dcd_ranking+internal_90d,0.96
大众cc进口,大众,大众CC(进口),,燃油车,,燃油,,internal_90d,0.88
大众eos,大众,大众Eos,,燃油车,,燃油,,internal_90d,0.88
大众fox,大众,大众Fox,,燃油车,,燃油,,internal_90d,0.88
大众id3,大众,大众ID.3,轿车,新能源,轿车,新能源,,dcd_ranking+internal_90d,0.96
大众tera,大众,大众Tera,,燃油车,,燃油,,internal_90d,0.88
大众up!,大众,大众up!,,燃油车,,燃油,,internal_90d,0.88
大切诺基,Jeep,大切诺基,,燃油车,,燃油,,internal_90d,0.88
大切诺基4xe进口,Jeep,大切诺基4xe(进口),SUV,新能源,SUV,新能源,,dcd_ranking+internal_90d,0.96
大切诺基srt,Jeep,大切诺基 SRT,,燃油车,,燃油,,internal_90d,0.88
大切诺基进口,Jeep,大切诺基(进口),,燃油车,,燃油,,internal_90d,0.88
大家5ev,大通,大家5 EV,,新能源,,新能源,,internal_90d,0.88
大家5plugin,大通,大家5 PLUG IN,,新能源,,新能源,,internal_90d,0.88
大家6,大通,大家6,,新能源,,新能源,,internal_90d,0.88
大家7ev,大通,大家7 EV,MPV,新能源,MPV,新能源,,dcd_ranking+internal_90d,0.96
大家7超混,大通,大家7超混,MPV,新能源,MPV,新能源,,dcd_ranking+internal_90d,0.96
大家9ev,大通,大家9 EV,MPV,新能源,MPV,新能源,,dcd_ranking+internal_90d,0.96
大家9超混,大通,大家9超混,MPV,新能源,MPV,新能源,,dcd_ranking+internal_90d,0.96
大将军ev皮卡,福田,大将军EV皮卡,其他,新能源,皮卡,新能源,,heuristic_body+internal_90d,0.88
大将军f9,福田,大将军F9,,燃油车,,燃油,,internal_90d,0.88
大将军f9ev,福田,大将军F9 EV,,新能源,,新能源,,internal_90d,0.88
大将军g7,福田,大将军G7,,燃油车,,燃油,,internal_90d,0.88
大将军g9,福田,大将军G9,,燃油车,,燃油,,internal_90d,0.88
大拿m1,大通,大拿M1,,,,,,unknown,0.0
大拿t1,大通,大拿T1,,燃油车,,燃油,,internal_90d,0.88
大拿v1,大通,大拿V1,,新能源,,新能源,,dcd_ranking+internal_90d,0.96
大拿v1l,大通,大拿V1 L,,新能源,,新能源,,dcd_ranking+internal_90d,0.96
