series_key,brand,series,body_type,energy_type,vehicle_categories,energy_subtypes,manufacturer_attributes,taxonomy_source,taxonomy_confidence
model3,特斯拉,Model 3,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
model3进口,特斯拉,Model 3(进口),轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
models,特斯拉,Model S,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
modelx,特斯拉,Model X,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
modely,特斯拉,Model Y,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
modelyl,特斯拉,Model Y L,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
mustang,福特,Mustang,轿车,燃油车,轿车,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
mux牧游侠,五十铃,mu-X牧游侠,,燃油车,,燃油,,internal_90d,0.88
mvision,极氪,M-Vision,,燃油车,,燃油,,internal_90d,0.88
nan,nan,nan,,燃油车,,燃油,,internal_90d,0.88
omega,欧宝,Omega,MPV,燃油车,MPV,燃油,,heuristic_body+internal_90d,0.88
outback傲虎,斯巴鲁,OUTBACK傲虎,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
panamera,保时捷,Panamera,,燃油车,,燃油,,internal_90d,0.88
panameraehybrid,保时捷,Panamera E-Hybrid,,新能源,,新能源,,internal_90d,0.88
passat,大众,Passat,,燃油车,,燃油,,internal_90d,0.88
passat领驭,大众,Passat领驭,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
pathfinder,日产,Pathfinder,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
pn货车,五菱汽车,PN货车,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
polestar2,Polestar极星,Polestar 2,,新能源,,新能源,,internal_90d,0.88
polestar4,Polestar极星,Polestar 4,,新能源,,新能源,,internal_90d,0.88
polo,大众,Polo,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
polo海外,大众,Polo(海外),轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
portofino,法拉利,Portofino,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
pt漫步者,克莱斯勒,PT 漫步者,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
purosangue,法拉利,Purosangue,,燃油车,,燃油,,internal_90d,0.88
qq3ev,奇瑞QQ,QQ3 EV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
qq冰淇淋,奇瑞,QQ冰淇淋,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
quattro,奥迪,quattro,,燃油车,,燃油,,internal_90d,0.88
ram1500rev,RAM,RAM 1500 Rev,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
rampage,道奇,Rampage,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
ramtrucks,RAM,RAM Trucks,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
rapide,阿斯顿·马丁,Rapide,,燃油车,,燃油,,internal_90d,0.88
rav4荣放,丰田,RAV4荣放,SUV,燃油车,SUV,燃油,,dcd_ranking+heuristic_body+internal_90d,0.96
rav4荣放phev,丰田,RAV4荣放PHEV,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
rav4荣放双擎e+,丰田,RAV4荣放双擎E+,SUV,新能源,SUV,新能源,,heuristic_body+internal_90d,0.88
remax瑞迈,五十铃,RE-MAX 瑞迈,其他,燃油车,皮卡,燃油,,heuristic_body+internal_90d,0.88
s5turbo,纳智捷,S5 TURBO,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
saab93,萨博,Saab 9-3,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
saab95,萨博,Saab 9-5,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
savana,GMC,SAVANA,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
sienna,丰田,Sienna,,燃油车,,燃油,,internal_90d,0.88
sitechdev1,新特汽车,SITECH DEV 1,,新能源,,新能源,,internal_90d,0.88
skyev01,东风风神,SKY EV01,,新能源,,新能源,,internal_90d,0.88
sls赛威,凯迪拉克,SLS赛威,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
smarteqfortwo,smart,Smart EQ Fortwo,轿车,新能源,轿车,新能源,,heuristic_body+internal_90d,0.88
smartforfour,smart,smart forfour,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
smartforjeremy,smart,Smart Forjeremy,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
smartfortwo,smart,smart fortwo,轿车,燃油车,轿车,燃油,,heuristic_body+internal_90d,0.88
smart精灵#1,smart,smart精灵#1,轿车,新能源,轿车,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
smart精灵#3,smart,smart精灵#3,轿车,新能源,轿车,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
smart精灵#5,smart,smart精灵#5,轿车,新能源,轿车,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
smart精灵#5ehd超级电混,smart,smart精灵#5 EHD超级电混,轿车,新能源,轿车,新能源,,dcd_ranking+heuristic_body+internal_90d,0.96
smart精灵#6ehd超级电混,smart,smart精灵#6 EHD超级电混,轿车,新能源,轿车,新能源,,dcd_ranking,0.96
sportage,起亚,SPORTAGE,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
sprinter,奔驰,Sprinter,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
sprinterls500,Lorinser,Sprinter LS500,其他,燃油车,,燃油,,heuristic_body+internal_90d,0.88
ssdolphin,松散机车,SS DOLPHIN,,新能源,,新能源,,internal_90d,0.88
stelvio,阿尔法·罗密欧,Stelvio,SUV,燃油车,SUV,燃油,,heuristic_body+internal_90d,0.88
