excluded_brand,baseline_candidate_count,selected_candidate_count,selection_rate,profit_retention_rate,avg_profit_lift,days_to_sell_ratio,acquisition_conversion_lift,sales_conversion_lift,leader_all_pass
极氪,30120,17917,0.594854,1.080118,1.5432446546600218,0.846668804131888,1.3189957355600703,1.2845146030986738,True
极越,30244,18036,0.59635,1.076288,1.5327933787697419,0.846073280235924,1.3185346459674365,1.2845868134768754,True
林肯,30113,17963,0.59652,1.070833,1.5242911210396963,0.846581224192689,1.318229797446695,1.284739832198352,True
标致,30028,17875,0.595278,1.078301,1.538362937930703,0.8456589566343505,1.3193988521917777,1.283780871840043,True
欧拉,30157,17959,0.595517,1.07703,1.5355200567317222,0.8458220083212176,1.3189881184805041,1.2857223836714953,True
比亚迪,28868,16802,0.582029,1.08947,1.585778270846606,0.840525263188255,1.3245084993750036,1.3010352416922535,True
汉腾汽车,30239,18036,0.596448,1.075861,1.5323538328734148,0.8461573375478293,1.3183584615727235,1.2841461667784957,True
江汽集团,30229,18036,0.596646,1.076269,1.5325971624051282,0.8460897802879844,1.318490595454191,1.2849114390030478,True
江淮瑞风,30240,18036,0.596429,1.075529,1.5317119278527895,0.8463503504732814,1.3180355791067373,1.2841461667784957,True
江淮钇为,30244,18036,0.59635,1.076132,1.5325702742084735,0.846094403740148,1.3185346459674365,1.2845868134768754,True
江铃,30239,18036,0.596448,1.075861,1.5323538328734148,0.8461573375478293,1.3183584615727235,1.2839138595129158,True
江铃集团新能源,30244,18036,0.59635,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
沃尔沃,29895,17964,0.600903,1.066126,1.504952466416284,0.8489519463177955,1.315382867530107,1.2795537164658966,True
海马,30231,18036,0.596606,1.076147,1.532424275690728,0.8461357678896877,1.3183804820471134,1.284030002638423,True
深蓝汽车,30077,17870,0.594142,1.077643,1.5402215238166446,0.8457977835524145,1.3192049795037273,1.285994868418065,True
特斯拉,28877,16678,0.577553,1.08767,1.600482039330571,0.8392045242984107,1.3146206368006688,1.3079288260693933,True
猎豹汽车,30241,18036,0.596409,1.075861,1.5323538328734148,0.8461573375478293,1.318505278631565,1.2842623519388379,True
猛士,30239,18036,0.596448,1.075861,1.5323538328734148,0.8461573375478293,1.3185199621359764,1.284030002638423,True
玛莎拉蒂,30240,18036,0.596429,1.075861,1.5323538328734148,0.8461573375478293,1.3175148975946853,1.2839138595129158,True
现代,29799,17777,0.596564,1.076233,1.5310058875674313,0.846069078540957,1.31851140376202,1.2843801109126798,True
理想汽车,29890,17689,0.591803,1.081209,1.5502457908093632,0.8456903772878651,1.3256404969041022,1.2872715674846509,True
瑞驰,30244,18036,0.59635,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2841461667784957,True
电咖,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
睿蓝汽车,30242,18036,0.596389,1.076132,1.5324019710764374,0.8460996086449605,1.3186815022721197,1.2849114390030478,True
知豆,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
福特,29503,17649,0.59821,1.072616,1.518898797433733,0.848991519982232,1.323822544642857,1.28199900883042,True
福田,30238,18036,0.596468,1.075826,1.5321354072949924,0.8462656177865133,1.3183951627720525,1.2841461667784957,True
红旗,29947,17910,0.598057,1.068557,1.5152358954966727,0.8475271842034081,1.318424882485126,1.282209978966607,True
纳智捷,30241,18036,0.596409,1.075748,1.5320239423950461,0.8462187298722864,1.3183951627720525,1.2842623519388379,True
腾势,30188,18001,0.596297,1.074435,1.5301940519984856,0.8468315474865029,1.320217776144828,1.2841625313443625,True
英菲尼迪,30188,18012,0.596661,1.076831,1.533054828732257,0.8463179517242222,1.3181969949916528,1.2835590495446143,True
荣威,29948,17809,0.594664,1.078139,1.539587314846557,0.8450335341064702,1.3201382326132787,1.286085997628381,True
菲亚特,30237,18036,0.596488,1.075861,1.5323538328734148,0.8461573375478293,1.3182703870306862,1.2841461667784957,True
蓝电,30236,18026,0.596177,1.075941,1.532895955149411,0.8461277879716231,1.318531883258992,1.2844004524886878,True
蔚来,29834,17634,0.591071,1.079958,1.5486253385229494,0.8460227979577947,1.3204944303740727,1.2864250231667858,True
西雅特,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
观致,30239,18036,0.596448,1.075861,1.5323538328734148,0.8461573375478293,1.3183291020844468,1.2841461667784957,True
讴歌,30226,18036,0.596705,1.076132,1.5318970606602755,0.8463544781280732,1.317969554448557,1.2842381449633766,True
起亚,30053,17959,0.597578,1.074972,1.5266156010951843,0.8468526950977773,1.3195062085701088,1.2865266114903644,True
路虎,30008,18036,0.60104,1.064404,1.5092089956735755,0.8491856958224648,1.3096595779983962,1.2779943202920137,True
迈凯伦,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
道奇,30239,18036,0.596448,1.075697,1.5317832638691264,0.8462186467914032,1.318762287184571,1.2844705696047418,True
野马汽车,30240,18036,0.596429,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2842623519388379,True
金杯,30239,18036,0.596448,1.075861,1.5323538328734148,0.8461573375478293,1.3184245252028084,1.2842623519388379,True
鑫源汽车,30243,18036,0.596369,1.075924,1.5322747607232141,0.8461714041047251,1.3183951627720525,1.2842623519388379,True
铃木,30184,18036,0.597535,1.076421,1.532814719955109,0.8460475071135092,1.3179915619329632,1.2834494970425347,True
长城,30217,18036,0.596883,1.075466,1.5312864056250541,0.8463560294718272,1.318409843823947,1.284030002638423,True
长安,29571,17699,0.598526,1.07857,1.5259283644533463,0.8478707934015544,1.3248900094477272,1.2879660056657225,True
长安凯程,30225,18036,0.596725,1.076132,1.5324019710764374,0.8460879807543961,1.3178595280498664,1.2837977373962723,True
长安启源,30089,17885,0.594403,1.076983,1.5386204102870222,0.8451465503554809,1.3176419864382864,1.2858489815856138,True
长安欧尚,30147,17982,0.596477,1.077744,1.5349021564047434,0.8458334312123821,1.318395792827975,1.2837521795948494,True
长安跨越,30243,18036,0.596369,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2842623519388379,True
阿尔法·罗密欧,30231,18036,0.596606,1.075681,1.5319292102854918,0.8462345155361151,1.3179842260231658,1.2835655561667787,True
阿维塔,30189,17997,0.596144,1.076888,1.5339950575929908,0.8456853934452206,1.3193904706760051,1.2851186924570057,True
