unique_product_id,city,brand,series,energy_type,body_type,price_band,market_state,market_match_scope,dsi_label,dsi_model_count,dsi_consistency,qualification_reason
24414277,上海,别克,微蓝6 PHEV,新能源,轿车,0-5万,结构性行情,city_exact,供不应求,7,0.5714285714285714,结构性行情 + DSI供不应求
23566161,上海,北京越野,北京越野BJ40,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,126,0.38095238095238093,结构性行情 + DSI供需平衡
24129197,上海,北京越野,北京越野BJ40,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,126,0.38095238095238093,结构性行情 + DSI供需平衡
24270459,上海,北京越野,北京越野BJ40,燃油车,SUV,5-10万,结构性行情,national_series_from_city_table,供需平衡,126,0.38095238095238093,结构性行情 + DSI供需平衡
24219245,上海,吉利汽车,博瑞,燃油车,轿车,0-5万,常规行情,national_series_from_city_table,供需平衡,37,0.43243243243243246,常规行情 + DSI供需平衡
22989676,上海,吉利汽车,博越L,燃油车,SUV,5-10万,常规行情,city_exact,供不应求,14,0.42857142857142855,常规行情 + DSI供不应求
23156329,上海,吉利汽车,博越L,燃油车,SUV,5-10万,常规行情,city_exact,供不应求,14,0.42857142857142855,常规行情 + DSI供不应求
23535186,上海,吉利汽车,博越L,燃油车,SUV,5-10万,常规行情,city_exact,供不应求,14,0.42857142857142855,常规行情 + DSI供不应求
24083812,上海,吉利汽车,博越L,燃油车,SUV,5-10万,常规行情,city_exact,供不应求,14,0.42857142857142855,常规行情 + DSI供不应求
24336825,上海,吉利汽车,博越L,燃油车,SUV,5-10万,常规行情,city_exact,供不应求,14,0.42857142857142855,常规行情 + DSI供不应求
24332108,上海,吉利汽车,吉利ICON,燃油车,SUV,0-5万,常规行情,national_series_from_city_table,供需平衡,18,0.3888888888888889,常规行情 + DSI供需平衡
24337091,上海,吉利汽车,吉利ICON,燃油车,SUV,0-5万,常规行情,national_series_from_city_table,供需平衡,18,0.3888888888888889,常规行情 + DSI供需平衡
24316829,上海,吉利汽车,帝豪,燃油车,轿车,0-5万,结构性行情,national_series_from_city_table,供需平衡,97,0.41237113402061853,结构性行情 + DSI供需平衡
